,Act1,Act2,counts
2883,Determine policy on mandatory screenings and/or testing,Collect case patient information,1.0
2884,Determine policy on mandatory screenings and/or testing,Provide medical countermeasures (MCMs),0.0
2885,Determine policy on mandatory screenings and/or testing,Publish and share data,0.0
2886,Determine policy on mandatory screenings and/or testing,Humanely destroy all infected and exposed animals,0.0
2887,Determine policy on mandatory screenings and/or testing,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
2888,Determine policy on mandatory screenings and/or testing,Identify agent based on laboratory testing,1.0
2889,Determine policy on mandatory screenings and/or testing,Initiate medical response,0.0
2890,Determine policy on mandatory screenings and/or testing,Diagnose cases,1.0
2891,Determine policy on mandatory screenings and/or testing,Manage potential clashes in national policy,0.0
2892,Monitor the long-term safety and efficacy of vaccines,Identify travel or border restrictions,0.0
2893,Monitor the long-term safety and efficacy of vaccines,Ongoing communication with funders,0.0
2894,Monitor the long-term safety and efficacy of vaccines,Procure sampling material,0.0
2895,Monitor the long-term safety and efficacy of vaccines,WHO/WOAH notification,0.0
2896,Monitor the long-term safety and efficacy of vaccines,Implement vector control measures,0.0
2897,Monitor the long-term safety and efficacy of vaccines,Coordinate national response across sectors,0.0
2898,Monitor the long-term safety and efficacy of vaccines,Conduct anthropological assessment,0.0
2899,Monitor the long-term safety and efficacy of vaccines,Issue request for assistance,0.0
2900,Monitor the long-term safety and efficacy of vaccines,Complete descriptive analysis of outbreak,1.0
2901,Monitor the long-term safety and efficacy of vaccines,Construct case definitions,0.0
2902,Monitor the long-term safety and efficacy of vaccines,Provide clinical care,0.0
2903,Monitor the long-term safety and efficacy of vaccines,Collect data to assess magnitude and nature of the event,0.0
2904,Monitor the long-term safety and efficacy of vaccines,Collect biological and environmental samples,0.0
2905,Monitor the long-term safety and efficacy of vaccines,Update cross-border agreements,0.0
2906,Monitor the long-term safety and efficacy of vaccines,Train workforce in clinical care and case management practices,0.0
2907,Monitor the long-term safety and efficacy of vaccines,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
2908,Monitor the long-term safety and efficacy of vaccines,Manage and coordinate data collection and reporting,0.0
2909,Monitor the long-term safety and efficacy of vaccines,Create and distribute standard treatment guidance ,0.0
2910,Monitor the long-term safety and efficacy of vaccines,Close food premises or prohibit the sale or use of foods,0.0
2911,Monitor the long-term safety and efficacy of vaccines,Identify and share relevant legislation and regulations across sectors,0.0
2912,Monitor the long-term safety and efficacy of vaccines,Implement infection prevention and control (IPC) measures,0.0
2913,Monitor the long-term safety and efficacy of vaccines,Identify infrastructure for isolation and quarantine facilities,0.0
2914,Monitor the long-term safety and efficacy of vaccines,Transport samples internationally,0.0
2915,Monitor the long-term safety and efficacy of vaccines,Manage emergency operations center (EOC) operations,0.0
2916,Monitor the long-term safety and efficacy of vaccines,Create inter-agency coordinating committee,1.0
2917,Monitor the long-term safety and efficacy of vaccines,Collect vaccination data,0.0
2918,Monitor the long-term safety and efficacy of vaccines,Declare outbreak nationally,0.0
2919,Monitor the long-term safety and efficacy of vaccines,Establish sample collection and transport protocols,0.0
2920,Monitor the long-term safety and efficacy of vaccines,Coordinate response with international partners,1.0
2921,Monitor the long-term safety and efficacy of vaccines,Ensure power is available for humanitarian response activities,0.0
2922,Monitor the long-term safety and efficacy of vaccines,Remove implicated foods from market,0.0
2923,Monitor the long-term safety and efficacy of vaccines,Train workforce on infection prevention & control (IPC) guidelines,0.0
2924,Monitor the long-term safety and efficacy of vaccines,Establish public hotline or call center,0.0
2925,Monitor the long-term safety and efficacy of vaccines,Engage the media,0.0
2926,Monitor the long-term safety and efficacy of vaccines,Develop plan for the safe disposal of waste,0.0
2927,Monitor the long-term safety and efficacy of vaccines,Provide funding and/or financing,0.0
2928,Monitor the long-term safety and efficacy of vaccines,Train workforce in epidemic intelligence,0.0
2929,Monitor the long-term safety and efficacy of vaccines,Manage clinical data,0.0
2930,Monitor the long-term safety and efficacy of vaccines,Train contact tracers,0.0
2931,Monitor the long-term safety and efficacy of vaccines,Train community on surveillance and/or contact tracing,0.0
2932,Monitor the long-term safety and efficacy of vaccines,Identify reporting lines,0.0
